ClusterID	ClusterName	Total
000230.4	Toast-rack	4
000231.4	SIG+Toast-rack	4
000232.4	SIG+Toast-rack	4
000233.4	SIG+Toast-rack	4
000234.4	SIG+Toast-rack	4
000235.4	SIG+Toast-rack	4
000236.4	LiaI-LiaF-TM+Toast-rack	4
000237.4	SIG+TM+TM+Toast-rack	4
000238.4	SIG+Toast-rack	4
000239.4	SIG+Toast-rack	4
000240.4	DUF1707-SHOCT-bihelical	4
000241.4	Cluster239_1clades	4
000242.4	Toast-rack	4
000243.4	SIG+Toast-rack	4
000000.1	DUF1700-alpha-helical+TM+TM+TM+Toast-rack	3
000000.1	DUF1700-alpha-helical+TM+Toast-rack	3
000000.1	EP1+EP1	3
000000.1	SbcC+PspA	3
000000.1	SIG+DUF1707-SHOCT-bihelical	3
000000.1	SIG+SidE	3
000000.1	SIG+TM+PspA	3
000000.1	SIG+TM+Snf7	3
000002.3	DUF3046	3
000003.3	DUF3046	3
000003.3	SIG+ABhydrolase+Toast-rack	3
000004.3	DUF1700-alpha-helical+ZetaToxin+Toast-rack	3
000013.3	SIG+PspB	3
000014.3	TM	3
000017.3	DUF1707-SHOCT-bihelical+DUF1707-SHOCT-bihelical+TM	3
000018.3	DUF1707-SHOCT-bihelical	3
000019.3	DUF1707-SHOCT-bihelical+Toast-rack	3
000020.3	DUF1707-SHOCT-bihelical+TM+TM+TM	3
000034.3	PspC+LiaI-LiaF-TM+Toast-rack	3
000035.3	DUF1700-alpha-helical+PspC+TM+TM+TM+Toast-Rack	3
000036.3	LiaI-LiaF-TM+TM	3
000037.3	LiaI-LiaF-TM+Toast-rack	3
000038.3	SIG+LiaI-LiaF-TM	3
000039.3	LiaI-LiaF-TM+Toast-rack	3
000040.3	LiaI-LiaF-TM+Toast-rack	3
000053.3	DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	3
000054.3	DUF1700-alpha-helical+Toast-rack	3
000054.3	PspC+TM+TM+TM+TM	3
000055.3	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	3
000055.3	PspC+LiaI-LiaF-TM+Toast-rack	3
000056.3	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	3
000056.3	SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	3
000057.3	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	3
000057.3	SIG+Toast-rack	3
000058.3	DUF1700-alpha-helical+Toast-rack	3
000058.3	PspC+TM+TM+TM+TM+TM+Toast-rack	3
000059.3	DUF1700-alpha-helical+TM+TM+TM	3
000059.3	PspC+TM+TM+TM+Toast-rack	3
000060.3	DUF1700-alpha-helical+TM+TM+TM+TM	3
000060.3	PspC+TM+TM+PspC	3
000061.3	DUF1700-alpha-helical+TM+TM+TM+TM	3
000061.3	PspC	3
000062.3	DUF1700-alpha-helical+TM+TM+TM+TM	3
000062.3	PspC+PspC	3
000063.3	DUF1700-alpha-helical+TM+TM	3
000063.3	PspC	3
000064.3	DUF1700-alpha-helical+TM+TM+TM	3
000064.3	PspC	3
000065.3	DUF1700-alpha-helical+TM+TM+TM	3
000065.3	PspC	3
000066.3	Cluster66_1clades	3
000066.3	DUF1700-alpha-helical+TM+TM+TM	3
000067.3	DUF1700-alpha-helical+TM+TM	3
000067.3	PspC	3
000068.3	DUF1700-alpha-helical+TM+TM	3
000069.3	DUF1700-alpha-helical+TM+TM	3
000094.3	SIG+EP1+EP1+EP1+EP1+EP1+EP1	3
000095.3	SidE+RNASEII	3
000096.3	EP1+EP2+EP1	3
000097.3	SIG+SMAD+SbcC+PspA+PspA+SbcC	3
000098.3	EP1	3
000099.3	SIG+EP1+TM	3
000100.3	SIG+EP1	3
000101.3	SIG+SIGMA-HTH+TM+TM+TM+TM+TM+TM+TM	3
000102.3	TM+TM+TM+EP1	3
000102.8	DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	3
000103.3	CR-Kinase+EP1+C1+PH	3
000104.3	SIG+EP1	3
000105.3	EP1	3
