Species	Lineage.final	Lineage.final.old	Domain
Monoraphidium neglectum	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota
Ostreococcus lucimarinus CCE9901	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota
Ostreococcus tauri	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota
Volvox carteri f nagariensis	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota
Acidianus hospitalis W1	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Acidilobus saccharovorans 34515	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Aeropyrum camini SY1 JCM 12091	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Aeropyrum pernix K1	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Caldisphaera lagunensis DSM 15908	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Caldivirga maquilingensis IC167	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Desulfurococcus fermentans DSM 16532	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Desulfurococcus kamchatkensis 1221n	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Desulfurococcus mucosus DSM 2162	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Fervidicoccus fontis Kam940	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Hyperthermus butylicus DSM 5456	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Ignicoccus hospitalis KIN4I	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Ignicoccus islandicus DSM 13165	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Ignisphaera aggregans DSM 17230	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Metallosphaera cuprina Ar4	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Metallosphaera sedula DSM 5348	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Metallosphaera sedula	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Pyrobaculum aerophilum str IM2	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Pyrobaculum arsenaticum DSM 13514	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Pyrobaculum calidifontis JCM 11548	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Pyrobaculum ferrireducens	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Pyrobaculum islandicum DSM 4184	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Pyrobaculum neutrophilum V24Sta	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Pyrobaculum oguniense TE7	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Pyrobaculum sp WP30	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Pyrodictium delaneyi	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Pyrolobus fumarii 1A	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Staphylothermus hellenicus DSM 12710	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Staphylothermus marinus F1	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus acidocaldarius DSM 639	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus acidocaldarius N8	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus acidocaldarius Ron12I	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus acidocaldarius SUSAZ	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus islandicus HVE104	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus islandicus LS215	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus islandicus M164	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus islandicus YG5714	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus islandicus YN1551	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus solfataricus P2	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus solfataricus	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus sp A20	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Sulfolobus tokodaii str 7	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Thermofilum adornatus	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Thermofilum carboxyditrophus 1505	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Thermofilum pendens Hrk 5	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Thermofilum sp 18072	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Thermogladius cellulolyticus 1633	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Thermoproteus tenax Kra 1	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Thermoproteus uzoniensis 76820	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Thermosphaera aggregans DSM 11486	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Vulcanisaeta distributa DSM 14429	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Vulcanisaeta moutnovskia 76828	archaea>tack group	archaea>tack group>crenarchaeota	archaea
uncultured Acidilobus sp CIS	archaea>tack group	archaea>tack group>crenarchaeota	archaea
uncultured Acidilobus sp JCHS	archaea>tack group	archaea>tack group>crenarchaeota	archaea
uncultured Acidilobus sp MG	archaea>tack group	archaea>tack group>crenarchaeota	archaea
uncultured Acidilobus sp OSP8	archaea>tack group	archaea>tack group>crenarchaeota	archaea
Aciduliprofundum boonei T469	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Aciduliprofundum sp MAR08339	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Archaeoglobus fulgidus DSM 4304	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Archaeoglobus fulgidus DSM 8774	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Archaeoglobus profundus DSM 5631	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Archaeoglobus sulfaticallidus PM701	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Archaeoglobus veneficus SNP6	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Candidatus Methanomassiliicoccus intestinalis IssoireMx1	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Candidatus Methanomethylophilus alvus Mx1201	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Candidatus Methanoplasma termitum	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Cuniculiplasma divulgatum	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Ferroglobus placidus DSM 10642	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Ferroplasma acidarmanus fer1	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Ferroplasma sp Type II	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Geoglobus acetivorans	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Geoglobus ahangari	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Hadesarchaea archaeon DG331	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Hadesarchaea archaeon DG33	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Hadesarchaea archaeon YNP_45	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Hadesarchaea archaeon YNP_N21	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halalkalicoccus jeotgali B3	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halanaeroarchaeum sulfurireducens	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Haloarcula hispanica ATCC 33960	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Haloarcula hispanica N601	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Haloarcula marismortui ATCC 43049	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Haloarcula sp CBA1115	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halobacterium hubeiense	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halobacterium salinarum NRC1	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halobacterium salinarum R1	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halobacterium sp DL1	archaea>euryarchaeota	archaea>euryarchaeota	archaea
Halobiforma lacisalsi AJ5	archaea>euryarchaeota	archaea>euryarchaeota	archaea
