Species	Lineage.final	Lineage.final.old	Domain
Mycoplasma hyorhinis	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma leachii PG50	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma mobile 163K	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma mycoides subsp mycoides SC str Gladysdale	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma mycoides subsp mycoides SC str PG1	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma mycoides subsp mycoides	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma ovis str Michigan	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma parvum str Indiana	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma penetrans HF2	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma pneumoniae 309	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma pneumoniae 85084	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma pneumoniae M1139	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma pneumoniae M129	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma pneumoniae	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma pullorum	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma pulmonis UAB CTIP	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma putrefaciens KS1	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma putrefaciens Mput9231	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma sp ex Biomphalaria glabrata	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma suis KI3806	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma suis str Illinois	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma synoviae 53	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma synoviae ATCC 25204	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma wenyonii str Massachusetts	bacteria>tenericutes	bacteria>tenericutes	bacteria
Mycoplasma yeatsii GM274B	bacteria>tenericutes	bacteria>tenericutes	bacteria
Onion yellows phytoplasma OYM	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma apis B31	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma atrichopogonis	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma cantharicola	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma chrysopicola DF1	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma citri	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma culicicola AES1	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma diminutum CUAS1	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma eriocheiris	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma helicoides	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma kunkelii CR23x	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma litorale	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma mirum ATCC 29335	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma sabaudiense Ar1343	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma sp NBRC 100390	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma sp TU14	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma syrphidicola EA1	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma taiwanense CT1	bacteria>tenericutes	bacteria>tenericutes	bacteria
Spiroplasma turonicum	bacteria>tenericutes	bacteria>tenericutes	bacteria
Strawberry lethal yellows phytoplasma CPA str NZSb11	bacteria>tenericutes	bacteria>tenericutes	bacteria
Ureaplasma parvum serovar 3 str ATCC 27815	bacteria>tenericutes	bacteria>tenericutes	bacteria
Ureaplasma parvum serovar 3 str ATCC 700970	bacteria>tenericutes	bacteria>tenericutes	bacteria
Ureaplasma parvum serovar 3	bacteria>tenericutes	bacteria>tenericutes	bacteria
Ureaplasma urealyticum serovar 10 str ATCC 33699	bacteria>tenericutes	bacteria>tenericutes	bacteria
Acetoanaerobium sticklandii	bacteria>firmicutes	bacteria>firmicutes	bacteria
Acetobacterium woodii DSM 1030	bacteria>firmicutes	bacteria>firmicutes	bacteria
Acetohalobium arabaticum DSM 5501	bacteria>firmicutes	bacteria>firmicutes	bacteria
Acidaminococcus fermentans DSM 20731	bacteria>firmicutes	bacteria>firmicutes	bacteria
Acidaminococcus intestini RyCMR95	bacteria>firmicutes	bacteria>firmicutes	bacteria
Aerococcus christensenii	bacteria>firmicutes	bacteria>firmicutes	bacteria
Aerococcus sanguinicola	bacteria>firmicutes	bacteria>firmicutes	bacteria
Aerococcus urinae ACS120VCol10a	bacteria>firmicutes	bacteria>firmicutes	bacteria
Aerococcus urinae	bacteria>firmicutes	bacteria>firmicutes	bacteria
Aerococcus urinaeequi	bacteria>firmicutes	bacteria>firmicutes	bacteria
Aerococcus urinaehominis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Aerococcus viridans	bacteria>firmicutes	bacteria>firmicutes	bacteria
Alicyclobacillus acidocaldarius subsp acidocaldarius DSM 446	bacteria>firmicutes	bacteria>firmicutes	bacteria
Alicyclobacillus acidocaldarius subsp acidocaldarius Tc41	bacteria>firmicutes	bacteria>firmicutes	bacteria
Alkaliphilus metalliredigens QYMF	bacteria>firmicutes	bacteria>firmicutes	bacteria
Alkaliphilus oremlandii OhILAs	bacteria>firmicutes	bacteria>firmicutes	bacteria
Ammonifex degensii KC4	bacteria>firmicutes	bacteria>firmicutes	bacteria
Amphibacillus xylanus NBRC 15112	bacteria>firmicutes	bacteria>firmicutes	bacteria
Anaerococcus prevotii DSM 20548	bacteria>firmicutes	bacteria>firmicutes	bacteria
Anaerostipes hadrus	bacteria>firmicutes	bacteria>firmicutes	bacteria
Aneurinibacillus sp XH2	bacteria>firmicutes	bacteria>firmicutes	bacteria
Anoxybacillus amylolyticus	bacteria>firmicutes	bacteria>firmicutes	bacteria
Anoxybacillus flavithermus WK1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Anoxybacillus gonensis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Anoxybacillus sp B2M1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Anoxybacillus sp B7M1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus amyloliquefaciens CC178	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus amyloliquefaciens LL3	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus amyloliquefaciens TA208	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus amyloliquefaciens XH7	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus amyloliquefaciens Y2	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus anthracis str Ames	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus anthracis str CDC 684	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus anthracis str H9401	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus anthracis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus atrophaeus 1942	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus atrophaeus	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus beveridgei	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus bombysepticus str Wang	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus cellulosilyticus DSM 2522	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus cereus 03BB108	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus cereus ATCC 10987	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus cereus ATCC 14579	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus cereus E33L	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus cereus G9842	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus clausii KSMK16	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus clausii	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus coagulans 36D1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus coagulans DSM 1 ATCC 7050	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus coagulans	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus cytotoxicus NVH 39198	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus endophyticus	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus gibsonii	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus glycinifermentans	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus halodurans C125	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus infantis NRRL B14911	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus lehensis G1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus licheniformis DSM 13 ATCC 14580	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus licheniformis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus megaterium DSM 319	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus megaterium NBRC 15308 ATCC 14581	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus megaterium Q3	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus megaterium QM B1551	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus megaterium WSH002	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus methanolicus MGA3	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus muralis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus mycoides	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus oceanisediminis 2691	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus paralicheniformis ATCC 9945a	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus paralicheniformis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus pseudofirmus OF4	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus pumilus	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus safensis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus selenitireducens MLS10	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus simplex	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus smithii	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus sp 1NLA3E	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus sp ABP14	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus sp IHB B 7164	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus sp JS	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus sp	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus subtilis BEST7613	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus subtilis KCTC 1028	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus subtilis subsp natto BEST195	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus subtilis subsp subtilis str 168	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus subtilis subsp subtilis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus thuringiensis serovar konkukian str 9727	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus thuringiensis serovar kurstaki str YBT1520	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus thuringiensis serovar thuringiensis str IS5056	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus thuringiensis serovar tolworthi	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus thuringiensis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus toyonensis BCT7112	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus velezensis NAUB3	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus velezensis SQR9	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus velezensis YAU B9601Y2	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus velezensis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus weihaiensis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus weihenstephanensis KBAB4	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus weihenstephanensis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Bacillus xiamenensis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Blautia sp YL58	bacteria>firmicutes	bacteria>firmicutes	bacteria
Brevibacillus brevis NBRC 100599	bacteria>firmicutes	bacteria>firmicutes	bacteria
Brevibacillus laterosporus LMG 15441	bacteria>firmicutes	bacteria>firmicutes	bacteria
Butyrivibrio hungatei	bacteria>firmicutes	bacteria>firmicutes	bacteria
Butyrivibrio proteoclasticus B316	bacteria>firmicutes	bacteria>firmicutes	bacteria
Caldanaerobacter subterraneus subsp tengcongensis MB4	bacteria>firmicutes	bacteria>firmicutes	bacteria
Caldicellulosiruptor bescii DSM 6725	bacteria>firmicutes	bacteria>firmicutes	bacteria
Caldicellulosiruptor hydrothermalis 108	bacteria>firmicutes	bacteria>firmicutes	bacteria
Caldicellulosiruptor kristjanssonii I77R1B	bacteria>firmicutes	bacteria>firmicutes	bacteria
Caldicellulosiruptor kronotskyensis 2002	bacteria>firmicutes	bacteria>firmicutes	bacteria
Caldicellulosiruptor lactoaceticus 6A	bacteria>firmicutes	bacteria>firmicutes	bacteria
Caldicellulosiruptor obsidiansis OB47	bacteria>firmicutes	bacteria>firmicutes	bacteria
Caldicellulosiruptor owensensis OL	bacteria>firmicutes	bacteria>firmicutes	bacteria
Caldicellulosiruptor saccharolyticus DSM 8903	bacteria>firmicutes	bacteria>firmicutes	bacteria
Candidatus Arthromitus sp SFBmouseJapan	bacteria>firmicutes	bacteria>firmicutes	bacteria
Candidatus Arthromitus sp SFBmouseNL	bacteria>firmicutes	bacteria>firmicutes	bacteria
Candidatus Arthromitus sp SFBmouseYit	bacteria>firmicutes	bacteria>firmicutes	bacteria
Candidatus Arthromitus sp SFBratYit	bacteria>firmicutes	bacteria>firmicutes	bacteria
Candidatus Desulforudis audaxviator MP104C	bacteria>firmicutes	bacteria>firmicutes	bacteria
Carboxydothermus hydrogenoformans Z2901	bacteria>firmicutes	bacteria>firmicutes	bacteria
Carnobacterium inhibens subsp gilichinskyi	bacteria>firmicutes	bacteria>firmicutes	bacteria
Carnobacterium maltaromaticum LMA28	bacteria>firmicutes	bacteria>firmicutes	bacteria
Carnobacterium sp 174	bacteria>firmicutes	bacteria>firmicutes	bacteria
Carnobacterium sp CP1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridioides difficile 630	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridioides difficile ATCC 9689 DSM 1296	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridioides difficile	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium aceticum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium acetobutylicum ATCC 824	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium acetobutylicum DSM 1731	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium acetobutylicum EA 2018	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium acidurici 9a	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium autoethanogenum DSM 10061	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium baratii str Sullivan	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium baratii	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium beijerinckii ATCC 35702	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium beijerinckii NCIMB 8052	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium beijerinckii	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium bornimense	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium botulinum A str ATCC 3502	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium botulinum A3 str Loch Maree	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium botulinum Ba4 str 657	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium botulinum CDC_1436	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium botulinum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium butyricum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium carboxidivorans P7	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium cellulolyticum H10	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium cellulosi	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium cellulovorans 743B	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium clariflavum DSM 19732	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium estertheticum subsp estertheticum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium formicaceticum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium kluyveri DSM 555	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium kluyveri NBRC 12016	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium kluyveri	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium lentocellum DSM 5427	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium ljungdahlii DSM 13528	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium novyi NT	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium pasteurianum BC1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium pasteurianum DSM 525 ATCC 6013	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium pasteurianum NRRL B598	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium perfringens ATCC 13124	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium perfringens	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium propionicum DSM 1682	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium saccharobutylicum DSM 13864	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium saccharobutylicum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium saccharolyticum WM1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium saccharoperbutylacetonicum N14HMT	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium saccharoperbutylacetonicum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium scatologenes	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium sp BNL1100	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium sp SY8519	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium sporogenes	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium stercorarium subsp leptospartum DSM 9219	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium stercorarium subsp stercorarium DSM 8532	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium stercorarium subsp thermolacticum DSM 2910	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium taeniosporum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium tetani 12124569	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium tetani E88	bacteria>firmicutes	bacteria>firmicutes	bacteria
Clostridium tyrobutyricum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Coprothermobacter proteolyticus DSM 5265	bacteria>firmicutes	bacteria>firmicutes	bacteria
Dehalobacter restrictus DSM 9455	bacteria>firmicutes	bacteria>firmicutes	bacteria
Dehalobacter sp CF	bacteria>firmicutes	bacteria>firmicutes	bacteria
Dehalobacter sp DCA	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfitobacterium dehalogenans ATCC 51507	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfitobacterium dichloroeliminans LMG P21439	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfitobacterium hafniense DCB2	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfitobacterium hafniense Y51	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfitobacterium metallireducens DSM 15288	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfosporosinus acidiphilus SJ4	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfosporosinus meridiei DSM 13257	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfosporosinus orientis DSM 765	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfotomaculum acetoxidans DSM 771	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfotomaculum ferrireducens	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfotomaculum gibsoniae DSM 7213	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfotomaculum kuznetsovii DSM 6115	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfotomaculum nigrificans CO1SRB	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfotomaculum reducens MI1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Desulfotomaculum ruminis DSM 2154	bacteria>firmicutes	bacteria>firmicutes	bacteria
Dialister pneumosintes	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus casseliflavus EC20	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus durans	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus faecalis 62	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus faecalis D32	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus faecalis DENG1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus faecalis V583	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus faecalis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus faecium Aus0085	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus faecium DO	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus faecium	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus gallinarum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus hirae ATCC 9790	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus hirae	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus mundtii QU 25	bacteria>firmicutes	bacteria>firmicutes	bacteria
Enterococcus silesiacus	bacteria>firmicutes	bacteria>firmicutes	bacteria
Erysipelothrix rhusiopathiae SY1027	bacteria>firmicutes	bacteria>firmicutes	bacteria
Erysipelothrix rhusiopathiae str Fujisawa	bacteria>firmicutes	bacteria>firmicutes	bacteria
Erysipelothrix rhusiopathiae	bacteria>firmicutes	bacteria>firmicutes	bacteria
Erysipelothrix sp LV19	bacteria>firmicutes	bacteria>firmicutes	bacteria
Erysipelotrichaceae bacterium I46	bacteria>firmicutes	bacteria>firmicutes	bacteria
Ethanoligenens harbinense YUAN3	bacteria>firmicutes	bacteria>firmicutes	bacteria
Eubacterium eligens ATCC 27750	bacteria>firmicutes	bacteria>firmicutes	bacteria
Eubacterium limosum KIST612	bacteria>firmicutes	bacteria>firmicutes	bacteria
Eubacterium limosum	bacteria>firmicutes	bacteria>firmicutes	bacteria
Eubacterium rectale ATCC 33656	bacteria>firmicutes	bacteria>firmicutes	bacteria
Eubacterium sulci ATCC 35585	bacteria>firmicutes	bacteria>firmicutes	bacteria
Exiguobacterium antarcticum B7	bacteria>firmicutes	bacteria>firmicutes	bacteria
Exiguobacterium sibiricum 25515	bacteria>firmicutes	bacteria>firmicutes	bacteria
Exiguobacterium sp AT1b	bacteria>firmicutes	bacteria>firmicutes	bacteria
Exiguobacterium sp MH3	bacteria>firmicutes	bacteria>firmicutes	bacteria
Exiguobacterium sp U131	bacteria>firmicutes	bacteria>firmicutes	bacteria
Faecalibaculum rodentium	bacteria>firmicutes	bacteria>firmicutes	bacteria
Fictibacillus arsenicus	bacteria>firmicutes	bacteria>firmicutes	bacteria
Fictibacillus phosphorivorans	bacteria>firmicutes	bacteria>firmicutes	bacteria
Filifactor alocis ATCC 35896	bacteria>firmicutes	bacteria>firmicutes	bacteria
Finegoldia magna ATCC 29328	bacteria>firmicutes	bacteria>firmicutes	bacteria
Flavonifractor plautii	bacteria>firmicutes	bacteria>firmicutes	bacteria
Gemella sp oral taxon 928	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus genomosp 3	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus kaustophilus HTA426	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus sp 12AMOR1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus sp GHH01	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus sp Y412MC52	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus sp Y412MC61	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus sp Y41MC1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus stearothermophilus 10	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus subterraneus	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus thermodenitrificans NG802	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus thermoleovorans CCB_US3_UF5	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geobacillus thermoleovorans	bacteria>firmicutes	bacteria>firmicutes	bacteria
Geosporobacter ferrireducens	bacteria>firmicutes	bacteria>firmicutes	bacteria
Halanaerobium hydrogeniformans	bacteria>firmicutes	bacteria>firmicutes	bacteria
Halanaerobium praevalens DSM 2228	bacteria>firmicutes	bacteria>firmicutes	bacteria
Halobacillus halophilus DSM 2266	bacteria>firmicutes	bacteria>firmicutes	bacteria
Halobacteroides halobius DSM 5150	bacteria>firmicutes	bacteria>firmicutes	bacteria
Halothermothrix orenii H 168	bacteria>firmicutes	bacteria>firmicutes	bacteria
Heliobacterium modesticaldum Ice1	bacteria>firmicutes	bacteria>firmicutes	bacteria
Intestinimonas butyriciproducens	bacteria>firmicutes	bacteria>firmicutes	bacteria
Jeotgalibaca dankookensis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Jeotgalibaca sp PTS2502	bacteria>firmicutes	bacteria>firmicutes	bacteria
Jeotgalibacillus malaysiensis	bacteria>firmicutes	bacteria>firmicutes	bacteria
Kurthia sp 11kri321	bacteria>firmicutes	bacteria>firmicutes	bacteria
Kyrpidia tusciae DSM 2912	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lachnoclostridium phytofermentans ISDg	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lachnoclostridium sp YL32	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lactobacillus acetotolerans	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lactobacillus acidophilus La14	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lactobacillus acidophilus NCFM	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lactobacillus acidophilus	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lactobacillus amylophilus DSM 20533 JCM 1125	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lactobacillus amylovorus GRL1118	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lactobacillus amylovorus	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lactobacillus backii	bacteria>firmicutes	bacteria>firmicutes	bacteria
Lactobacillus brevis ATCC 367	bacteria>firmicutes	bacteria>firmicutes	bacteria
