GenContext.orig	n
<-SIG+IG+TM+PspA+BZIP*<-SIG+IG+TM+PspA*	1
<-SIG+IMM+PEP-utilisers+PEP-utilisers-C+FHA+EP1+TM+TM+TM+TM+TM+TM+BetaPropeller+RING*	1
<-SIG+KH+KH+MIP-T3*	1
<-SIG+LAMG+Toast-rack+NEC*	1
<-SIG+MORC+TM+TM+MORC+Snf7*	1
<-SIG+NIT+MIP-T3+IG+IG+IG+IG*	1
<-SIG+Nramp+TM<-?||?->SIG+Toast-rack*->	1
<-SIG+Nramp+TM<-?<-Cation_ATPase_N+TM+E1-E2_ATPase+Cation_ATPase+Hydrolase+TM+Cation_ATPase_C<-?<-?<-Transposase_31+DUF4351<-DUF1707-SHOCT-bihelical+Toast-rack*	1
<-SIG+NtrC-AAA+FIS-HTH||TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	1
<-SIG+OmpA-beta-barrel<-SIG+Toast-rack*	1
<-SIG+PADR-HTH<-Toast-rack*<-?<-SIG+TM+BPD_transp_1<-SIG+TM+TM+BPD_transp_1+TM	1
<-SIG+PADR-HTH<-Toast-rack*<-?<-Toast-rack*	1
<-SIG+PADR-HTH<-Toast-rack*<-T2SSE	1
<-SIG+PAP2||PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	1
<-SIG+PDZ_2+PDZ_2<-SIG+Toast-rack*<-zf-HC2+TM<-SIGMA-HTH<-SIG+Bactofilin+TM+TM+TM+TM+TM<-SIG+Toast-rack*<-SIGMA-HTH	1
<-SIG+PDZ_2+PDZ_2<-SIG+Toast-rack*<-ZnF+TM+HEAT_2<-SIGMA-HTH	1
<-SIG+PEP-utilisers-C<-?||?-><-?<-?<-?||PspA*->Cluster13_7clades-><-Cluster67_6clades<-SIG+TM+TM+TM	1
<-SIG+Peptidase_M1||?->SIG+Toast-rack*->	1
<-SIG+Peptidase_M20||MODE-HTH+PBPII-><-?<-?||?-><-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-Toast-rack*	1
<-SIG+Peptidase_M3||SIG+Toast-rack*-><-?<-?<-?||?->?-><-UPF0126+UPF0126+TM<-CTP_transf_like	1
<-SIG+Peptidase_M3||SIG+Toast-rack*-><-Na_H_Exchanger+TrkA_N	1
<-SIG+Peptidase_S15+PepX_C<-SIG+Toast-rack+Toast-rack*	1
<-SIG+Phageshock_PspD<-PspC<-PspB<-PspA*||NtrC-AAA+FIS-HTH->SIG+SBP_bac_5->?->SIG+TM+TM+TM+TM+TM->ABC-ATPase->ABC-ATPase->adh_short_C2->	1
<-SIG+Phytase-like<-?<-LiaI-LiaF-TM+Toast-rack*<-?<-PspC	1
<-SIG+PPK2||?->?-><-?<-?<-SIG+Toast-rack*	1
<-SIG+PSII_BNR<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TM+TM+TM<-DUF2491<-SIG+TM<-PspA*<-DUF2170	1
<-SIG+PspA+Cu-amine-oxidN1+Cu-amine-oxidN1*	1
<-SIG+PspA+PTSEIIA1*<-SIG+TM+TM+TM+TM	1
<-SIG+PspA+SidE*	1
<-SIG+PspA+TM*<-?<-ABC-ATPase||?->?-><-RimK-ATPgrasp+ATPgraspC	1
<-SIG+PspA+TM+TM+TM+TM+TM+TM+TM*	1
<-SIG+PspA+TM+TM+TM+TM+TM+TM+TM*<-ABC-ATPase<-?<-?<-?<-?<-?<-SIG+Ribosomal_S7	1
<-SIG+PspB<-?<-PspC<-PspB<-PspA*	1
<-SIG+PspB<-?<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspB<-PspA*	1
<-SIG+PspB<-?<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspB<-PspA*<-?||NtrC-AAA+FIS-HTH->	1
<-SIG+PspB<-SIG+PspB<-PspC<-PspA*	1
<-SIG+PspB<-SIG+PspB<-PspC<-PspB<-PspA*	1
<-SIG+PspB<-SIG+PspB<-SIG+PspB<-?<-PspC<-PspB<-PspA*	1
<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspB<-PspA*	1
<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspB<-PspA*<-?||NtrC-AAA+FIS-HTH->	1
<-SIG+PspB<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspA*	1
<-SIG+PspB<-SIG+PspB<-SIG+PspB<-SIG+PspB<-SIG+PspB<-PspC<-PspB<-PspA*	1
<-SIG+PUA<-TM<-CHTH+DSBH<-?<-ncRNA<-Cluster283_3clades<-?<-PspC*<-?<-?<-ArgR-HTH	1
<-SIG+RHOD-CDC25<-Cluster290_3clades<-Cluster115_3clades<-PspC*	1
<-SIG+Rhodanese<-SIG+Phageshock_PspD<-PspC<-PspB<-PspA*<-PspA*	1
<-SIG+RhoN+RhoN+RNASEII+S1<-?||?->SIG+Toast-rack*->	1
<-SIG+Ribosomal_S14<-?<-?<-?<-?||Toast-rack*->	1
<-SIG+RRM+EP1+EP1*	1
<-SIG+SAF<-SIG+BetaPropeller<-SIG+BetaPropeller<-?<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-CheC<-CheC	1
<-SIG+SBP_bac_5<-?||CMD->?->?-><-?<-Arginase<-PspA*	1
<-SIG+SH2+PspA+EP1*	1
<-SIG+SH3+PspA*	1
<-SIG+SidE*	1
<-SIG+SidE*<-?<-SIG+SidE*<-SIG+SidE*<-SIG+SidE*<-SIG+SidE*<-SIG+SidE*	1
<-SIG+SidE+CASPASE*	1
<-SIG+SIGMA-HTH+MA+NIT*	1
<-SIG+SMS-KaiC||?->?-><-PspC*<-?<-Cluster551_3clades	1
<-SIG+SMS-KaiC<-?<-ABC-ATPase<-SIG+TM+TM+TM+TM+TM<-SIG+Toast-rack*<-SIG+Toast-rack<-?<-PspA||NtrC-AAA+FIS-HTH->	1
<-SIG+Snf7*<-Snf7*	1
<-SIG+Sortilin-Vps10+Sortilin-Vps10+Sortilin-Vps10+FlgD_ig<-?<-?<-adh_short||?->?->?-><-Toast-rack*<-SIG+Toast-rack*<-ZnF+TM+HEAT_2<-SIGMA-HTH	1
<-SIG+Sortilin-Vps10+Sortilin-Vps10+Sortilin-Vps10+FlgD_ig<-PSE<-PSE<-?<-?<-SIG+Toast-rack*	1
<-SIG+TarH+TM+HAMP+MA||?-><-FormylT<-?<-?<-SIG+TM+TM+TM+TM+TM*	1
<-SIG+TarH+TM+HAMP+MA<-?<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-?<-SIG+TM+TM+TM+TM+TM+TM<-?<-Cluster192_2clades	1
<-SIG+TarH+TM+HAMP+MA<-CheW<-SIGMA-HTH<-?<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	1
<-SIG+TM*	1
<-SIG+TM||?-><-SIG+TM+TM<-PspA*<-Cluster134_5clades	1
<-SIG+TM||TM->?->?->SIG+TM+TM->?->?->SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->?-><-?<-TM<-SIG+SAF<-SIG+BetaPropeller	1
<-SIG+TM||TM->CheC->?->?-><-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*||?-><-?<-SIG+TM<-?<-DOUBLECORTIN<-Cluster115_5clades	1
<-SIG+TM||TM->CheC->?->?-><-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-?<-SIG+TM<-?<-DOUBLECORTIN<-Cluster115_5clades||NACHT->	1
<-SIG+TM+AAA+Peptidase_M41<-?<-?<-?<-?<-PolyA_pol+PolyA_pol_RNAbd+HD+tRNA_NucTran2_2||SIG+Toast-rack*->	1
<-SIG+TM+Abi+TM<-SIG+Toast-rack*	1
<-SIG+TM+CR-Kinase+PCC1+IWS1*	1
<-SIG+TM+EP1+7TMR-HDED+DUF572*	1
<-SIG+TM+EP1+VirB5+EP1+EP1*	1
<-SIG+TM+HAMP+HISKIN-LiaS-like<-LiaI-LiaF-TM+Toast-rack*	1
<-SIG+TM+HAMP+HISKIN-LiaS-like<-SIG+TM+Toast-rack*	1
<-SIG+TM+HAMP+HISKIN<-REC+LuxR-HTH||?->?-><-?||?->?-><-PspA*<-?<-SIG+TM+TM+TM+TM+TM+TM+TM<-?||YTCD-HTH->	1
<-SIG+TM+HAMP+HISKIN<-REC+LuxR-HTH<-SIG+TM+TM+TM<-Cluster13_7clades<-PspA*<-?<-PSE<-?<-Glycos_transf_1+YHS<-PSE<-PSE<-HMA+TM+TM+TM+TM+TM+TM+TM+TM	1
<-SIG+TM+HAMP+HISKIN<-REC+LYTTR<-SIG+PADR-HTH<-Toast-rack*<-SIG+Acyltransferase	1
<-SIG+TM+HAMP+MA*	1
<-SIG+TM+HISKIN<-REC+NtrC-AAA+FIS-HTH<-?<-?<-?<-?<-SIG+Toast-rack*<-ABC-ATPase	1
<-SIG+TM+HISKIN<-REC+NtrC-AAA+FIS-HTH<-?<-SIG+Toast-rack*	1
<-SIG+TM+PspA*<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase	1
<-SIG+TM+Snf7*||DJ-1_PfpI->	1
<-SIG+TM+TM+BPD_transp_1+TM<-?<-?||Glyco_hydro_36N+Melibiase+Glyco_hydro_36C->ADH_N+ADH_zinc_N->?-><-?<-Toast-rack*	1
<-SIG+TM+TM+EP1*	1
<-SIG+TM+TM+PspA+EP1+EP1*	1
<-SIG+TM+TM+TM||?-><-PspC*	1
<-SIG+TM+TM+TM+ABC-ATPase<-?<-?<-SIG+Toast-rack*<-?<-?<-?<-Radical_SAM	1
<-SIG+TM+TM+TM+HISKIN<-LiaI-LiaF-TM+Toast-rack*<-IspD<-Fe_dep_repress+Fe_dep_repr_C+FeoA||Zip->	1
<-SIG+TM+TM+TM+PspA+TM+TM+TM+TM*	1
<-SIG+TM+TM+TM+TM||PspC*->PspC+LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack-><-LACI-HTH+PBPI	1
<-SIG+TM+TM+TM+TM+EP1+TM+TM+TM+TM+TM*||?->?-><-?||?-><-?||Pterin_4a->	1
<-SIG+TM+TM+TM+TM+TM*||?->?->?->?->?->?->SIG+APATPase->	1
<-SIG+TM+TM+TM+TM+TM*<-?<-?<-?<-?||FHA->NACHT->TET-TPase->	1
<-SIG+TM+TM+TM+TM+TM*<-?<-?<-CR-REase10<-CR-ATPase7	1
<-SIG+TM+TM+TM+TM+TM*<-?<-REC<-?<-REC<-CheRN-Alpha+CheR-Methylase<-REC	1
<-SIG+TM+TM+TM+TM+TM*<-?<-SIGMA-HTH	1
<-SIG+TM+TM+TM+TM+TM*<-Cluster263_2clades	1
<-SIG+TM+TM+TM+TM+TM*<-Cluster263_2clades<-?<-?<-?<-PSE<-DOUBLECORTIN<-?<-SIG+BetaPropeller	1
<-SIG+TM+TM+TM+TM+TM*<-Cluster57_2clades	1
<-SIG+TM+TM+TM+TM+TM*<-Cluster57_2clades<-?<-?<-?<-SIG+TM	1
<-SIG+TM+TM+TM+TM+TM*<-CR-ATPase7	1
<-SIG+TM+TM+TM+TM+TM*<-CR-ATPase7<-?||SIGMA-HTH->SIG+ACET->	1
<-SIG+TM+TM+TM+TM+TM*<-PSE<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-CheC	1
<-SIG+TM+TM+TM+TM+TM*<-PSE<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-CheC<-CheC	1
<-SIG+TM+TM+TM+TM+TM*<-PYRIN<-Cluster27_3clades<-AraC-HTH	1
<-SIG+TM+TM+TM+TM+TM*<-REC<-SIG+CHASE3+TM+SHELIX+HISKIN<-?<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM	1
<-SIG+TM+TM+TM+TM+TM*<-SIG+TM+TM+TM<-?<-CheC<-CheC<-TM	1
<-SIG+TM+TM+TM+TM+TM*<-SIG+TM<-IONCHANNEL	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-?<-PSE<-SIG+TM<-SIG+TM+TM+TM	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-?<-PSYN	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM+TM+TM<-SIG+TM<-CheC<-CheC<-TM	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-?||?-><-SIG+TM+TM+TM<-CheC	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-PSE<-SIG+TM<-CheC<-CheC	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-CheC<-CheC	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-CheC<-CheC<-Cluster120_5clades	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM||?-><-CheC	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-REC<-CheC	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-TM	1
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-TPR+TPR	1
<-SIG+TM+TM+TM+TM+TM*<-TPR<-?<-?<-?<-CR-ATPase7||NACHT->	1
<-SIG+TM+TM+TM+TM+TM*<-TPR<-?<-CR-REase10<-?<-CR-ATPase7	1
<-SIG+TM+TM+TM+TM+TM*<-TPR<-?<-CR-REase10<-CR-ATPase7||?->?->TPR->	1
<-SIG+TM+TM+TM+TM+TM*<-TPR<-?<-FHA+TM	1
<-SIG+TM+TM+TM+TM+TM+TM+EP1*	1
<-SIG+TM+TM+TM+TM+TM+TM+EP1+EP1*	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM||MODE-HTH+PBPII->ABhydrolase->?->?-><-PspC+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM||MODE-HTH+PBPII->SIG+PAP2->ABhydrolase-><-?<-PspC+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+EP1*<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+EP1*	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM*	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM||?->?->?->?-><-?||?->PspC*->	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-LiaI-LiaF-TM+Toast-rack*	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+Toast-rack*->?-><-ABhydrolase	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?||?->?->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?||?-><-?||LRP-HTH->?->SIG+TM+TM+Toast-rack->PspC+LiaI-LiaF-TM*->?->?-><-?<-PSE<-?||RADICAL-SAM->	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?<-?<-PspC<-PspB<-PspA*	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?<-PspC*<-PspB<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*<-PspA	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?<-PspC<-PspB<-SIG+PspB<-PspA*	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-PspC*<-SIG+Toast-rack<-DUF1700-alpha-helical+TM+TM+TM+TM<-PADR-HTH	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM+ABC-ATPase<-SIG+TM+TM+TM+TM+TM+ABC-ATPase<-?<-?||PADR-HTH-><-DUF1700-alpha-helical+TM+TM+TM+TM*	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-?<-Cluster774_2clades	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-SIGMA-HTH<-?<-SIG+TM+TM+TM+TM+TM*	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM<-?<-?<-Cluster354_2clades<-?<-SIG+TM+TM+TM+TM+TM*<-?<-NACHT<-?<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-?<-DOUBLECORTIN	1
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM<-SUA<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->	1
<-SIG+TM+TM+TM+TM+TM+TM+TM<-?<-DUF4178<-PspA*<-Cluster41_7clades<-?<-adh_short<-?<-adh_short	1
<-SIG+TM+TM+TM+TM+TM+TM+TM<-Prenyltransf||PspA*->	1
<-SIG+TM+TM+TM+TM+TM+TM<-Cluster380_1clades*<-DUF1700-alpha-helical+TM+TM+TM<-SIG+PADR-HTH	1
<-SIG+TM+TM+TM+TM+TM<-?<-?<-SIG+TM+PspC*	1
<-SIG+TM+TM+TM+TM+TM<-?<-PspA*	1
<-SIG+TM+TM+TM+TM+TM<-?<-SIG+TM+TM+TM+TM*<-?||?-><-SIG+TM<-IONCHANNEL	1
<-SIG+TM+TM+TM+TM+TM<-?<-SIG+TM+TM+TM+TM*<-?<-SIG+TM<-IONCHANNEL	1
<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-?<-?<-RNA-Helicase+A18<-PspC*	1
<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-Toast-rack*<-TraJ-RHH<-?||?->?->?-><-?<-Toast-rack*	1
<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-Toast-rack*<-TraJ-RHH<-?<-?||?->?->ENOYCOADEHYD->	1
<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-Toast-rack*<-TraJ-RHH<-?<-ENOYCOADEHYD	1
<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-Toast-rack*<-TraJ-RHH<-SIGMA-HTH<-SIG+Beta-lactamase	1
<-SIG+TM+TM+TM+TM+TM<-DUF1707-SHOCT-bihelical+Toast-rack*	1
<-SIG+TM+TM+TM+TM+TM<-PspC*	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-SIG+TM	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-?||?->?-><-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||?->?->PspC*-><-PSE||Cluster773_2clades->	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-?<-?<-NACHT<-SIG+TM+TM+TM+TM+TM*<-Cluster57_2clades<-?<-?<-?<-?<-?<-SIG+TM	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-?<-?<-NACHT<-SIG+TM+TM+TM+TM+TM*<-Cluster57_2clades<-?<-?<-?<-?<-SIG+TM	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-?<-TET-TPase<-NACHT<-SIG+TM+TM+TM+TM+TM*<-?<-?||?-><-SIG+TM	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-?<-TET-TPase<-NACHT<-SIG+TM+TM+TM+TM+TM*<-Cluster57_2clades	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-REC<-?||SIG+TM+TM+TM+TM+TM*->Cluster27_3clades->?->Cluster623_2clades->?->SIG+TM->	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-Cluster103_2clades<-Cluster179_2clades<-TET-TPase<-NACHT<-SIG+TM+TM+TM+TM+TM*<-Cluster57_2clades	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-Cluster103_2clades<-Cluster179_2clades<-TET-TPase<-NACHT<-SIG+TM+TM+TM+TM+TM*<-Cluster57_2clades||?-><-REC||?->Cluster27_3clades->	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-Cluster24_2clades<-?<-Cluster59_2clades<-NACHT<-SIG+TM+TM+TM+TM+TM*<-PYRIN	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-Cluster24_2clades<-?<-Cluster59_2clades<-NACHT<-SIG+TM+TM+TM+TM+TM*<-PYRIN<-Cluster27_3clades	1
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-PSE<-?<-TET-TPase<-NACHT<-FHA<-SIG+TM+TM+TM+TM+TM*<-CR-ATPase7	1
<-SIG+TM+TM+TM+TM+TM<-SIG+Toast-rack*<-?<-SIG+RhoN+RhoN+RNASEII+S1	1
<-SIG+TM+TM+TM+TM<-?||CHTH+DSBH-><-PspC*	1
<-SIG+TM+TM+TM+TM<-?<-Cluster784_2clades<-PurD-ATPgrasp<-RNA-Helicase<-?<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->?-><-PEP-utilisers-N+PEP-utilisers+PEP-utilisers-C	1
<-SIG+TM+TM+TM+TM<-ABC-ATPase<-EP1+A18*	1
<-SIG+TM+TM+TM+TM<-PSE<-?||?-><-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+Toast-rack*-><-ABhydrolase	1
<-SIG+TM+TM+TM<-?||PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*->	1
<-SIG+TM+TM+TM<-ABC-ATPase<-?<-PspC+LiaI-LiaF-TM*	1
<-SIG+TM+TM+TM<-ABC-ATPase<-SIG+TM+TM+TM+TM||ABhydrolase-><-?<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	1
<-SIG+TM+TM+TM<-Cluster24_2clades<-?<-?<-Cluster59_2clades<-NACHT<-Cluster49_2clades<-SIG+TM+TM+TM+TM+TM*<-PYRIN<-Cluster27_3clades<-AraC-HTH	1
<-SIG+TM+TM+TM<-Cluster24_2clades<-?<-Cluster59_2clades<-NACHT<-Cluster49_2clades<-SIG+TM+TM+TM+TM+TM*<-PYRIN<-Cluster27_3clades<-AraC-HTH	1
<-SIG+TM+TM+TM<-LiaI-LiaF-TM+Toast-rack*<-?<-?||?-><-Cluster440_3clades	1
<-SIG+TM+TM+TM<-PspC*||?->SIG+RnaseH-><-?<-ABC-ATPase	1
<-SIG+TM+TM+TM<-PspC*<-Cluster594_2clades<-?<-SbcC+SbcC+ABC-ATPase+SbcC<-RNA-Helicase+A18	1
<-SIG+TM+TM+TM<-PspC*<-Cluster95_4clades	1
<-SIG+TM+TM+TM<-PspC*<-PspC*<-Toast-rack<-?<-?<-SbcC+SbcC+ABC-ATPase+SbcC	1
<-SIG+TM+TM+TM<-PspC*<-Toast-rack<-?<-SbcC+SbcC+ABC-ATPase+SbcC<-RNA-Helicase+A18<-?<-?<-?||PspC*->	1
<-SIG+TM+TM<-?<-TM+OmpA<-SIG+TM+TM<-?<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM	1
<-SIG+TM+TM<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-?<-SIG+MHYT+TM+TM+TM+TM+GGDEF+EAL	1
<-SIG+TM+TM<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-PSE<-?<-?<-?<-SIG+MHYT+TM+TM+TM+TM+GGDEF+EAL	1
<-SIG+TM+TM<-PSE<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-CheC<-CheC	1
<-SIG+TM+TM<-PspA*||TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->	1
<-SIG+TM+TM<-REC<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-CheC<-CheC	1
<-SIG+TM+TM<-REC<-PSE<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-SIG+TM<-CheC<-CheC	1
<-SIG+TM+TM<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?<-?<-?||?->?-><-DUF1707-SHOCT-bihelical+TM+TM*	1
<-SIG+TM+TM<-SIG+TM+TM<-?||TM+TM+TM+TM->?->?->PspC*-><-?<-SIG+PAP2<-SIG+PAP2	1
<-SIG+TM+TM<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM||Thymidylate-synthase->Cluster372_2clades->	1
<-SIG+TM+TM<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM||Thymidylate-synthase->Cluster372_2clades-><-?<-?<-?<-Cluster673_2clades	1
