

       operon                                                                                                                                                                                                                                                                                                                                                               count   clade
396    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->?->||<-?||?->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                                                  1       1
397    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->?->?->||<-?<-HTH<-?||PSE->?->||<-DJ-1_PfpI                                                                                                                                                                                                                                                                   1       1
398    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->?->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                                                            1       1
399    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->NAD_binding_10->                                                                                                                                                                                                                                                                                             1       1
400    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->SIG+ABhydrolase->||<-Hpr-Kinase-C                                                                                                                                                                                                                                                                            1       1
401    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-?||ABhydrolase->                                                                                                                                                                                                                                                                                         1       1
402    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-SUA                                                                                                                                                                                                                                                                                                      1       1
403    <-FBPase_glpX<-UbE1+ACT<-ISOCOT<-?||?->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-SIG+SelR<-?<-Ribosomal_S9<-Ribosomal_L13                                                                                                                                                                                                                          1       1
404    <-SIG+ABhydrolase||PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                          1       1
405    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->MarR-HTH->||<-?<-?<-FAA_hydrolase<-Aldedh                                                                                                                                                                                                                                                                    1       1
407    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM||?->||<-?||?->||<-?*                                                                                                                                                                                                                                                              1       1
408    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->||<-?||?->||<-?||?->||<-?*                                                                                                                                                                                                                                                                                                    1       1
409    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->||<-REC+LuxR-HTH<-?||ABC-ATPase->                                                                                                                                                                                                                                                                                          1       1
413    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->SIG+PAP2->                                                                                                                                                                                                                                                                                                   1       1
414    DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->SIG+PAP2->?->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-S-AdoMet_synt_N+S-AdoMet_synt_M+S-AdoMet_synt_C                                                                                                                                                                                                           1       1
415    DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->SIG+PAP2->RADICAL-SAM->?->||<-REC+GerE-HTH                                                                                                                                                                                                                                                                             1       1
416    DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->SIG+PAP2->RADICAL-SAM->?->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-S-AdoMet_synt_N+S-AdoMet_synt_M+S-AdoMet_synt_C                                                                                                                                                                                              1       1
417    DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->SIG+PAP2->                                                                                                                                                                                                                                                                                                             1       1
418    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?->?->?->MoxR-AAA->                                                                                                                                                                                                                                                                                                        1       1
419    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?->?->MoxR-AAA->                                                                                                                                                                                                                                                                                                           1       1
420    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->||<-?<-?<-TRPR-HTH+PBPI<-SIG+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+SBP_bac_1                                                                                                                                                                                                                                                1       1
421    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?->||<-?<-?<-REC+OmpR-HTH                                                                                                                                                                                                                                                                                                  1       1
422    DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-PAS+GGDEF+EAL                                                                                                                                                                                                                                                                                                      1       1
424    SQS_PSY->SQS_PSY->?->?->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-FAD-NAD-dep-oxidoreductase                                                                                                                                                                                                                                                                 1       1
425    DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-FAD-NAD-dep-oxidoreductase||?->HTH->?->||<-LRP-HTH                                                                                                                                                                                                                                                                 1       1
426    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-DSBH                                                                                                                                                                                                                                                                                                     1       1
428    DUF1700-alpha-helical+TM+TM+TM*->PADR-HTH->||<-?<-?<-?||?->||<-?<-?<-?<-?<-PspC*<-SIG+TM+TM+TM                                                                                                                                                                                                                                                                           1       1
429    PspC*->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->PspC*->?->?->?->TP_methylase->                                                                                                                                                                                                                                                                        1       1
431    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->||<-Fapy_DNA_glyco+H2TH+zf-FPG_IleRS                                                                                                                                                                                                                                                                                          1       1
432    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->||<-?||?->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                                                                   1       1
433    SIG+TM+TM+CBS->DUF1700-alpha-helical+TM+TM*->PADR-HTH->?->?->?->||<-PADR-HTH<-DUF1700-alpha-helical+TM+TM+TM*                                                                                                                                                                                                                                                            1       1
434    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->ABC-ATPase->                                                                                                                                                                                                                                                                                                               1       1
435    <-Fapy_DNA_glyco+H2TH+zf-FPG_IleRS||?->||<-?||PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->                                                                                                                                                                                                                                                                                1       1
436    ABC-ATPase->?->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->                                                                                                                                                                                                                                                                                                               1       1
437    SIG+TM+TM+TM+TM+TM->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->                                                                                                                                                                                                                                                                                                          1       1
438    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->||<-?<-?<-ABC-ATPase                                                                                                                                                                                                                                                                                                          1       1
439    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->Alpha-L-AF_C->||<-?||MoxR-AAA->PSE->?->?->?->PALP->                                                                                                                                                                                                                                                                           1       1
440    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+DUF4097*->                                                                                                                                                                                                                                                                                                                1       1
441    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-?||?->||<-SIG+SelR                                                                                                                                                                                                                                                                                       1       1
442    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->PspC*->?->?->?->||<-?||?->?->?->?->||<-?||?->?->SIG+Toast-rack*->?->REC+GerE-HTH->                                                                                                                                                                                                                           1       1
443    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->?->?->?->PspC*->PspC*->                                                                                                                                                                                                                                                                                      1       1
444    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->?->||<-?<-REC+OmpR-HTH                                                                                                                                                                                                                                                                                                     1       1
445    DUF1700-alpha-helical+TM+TM+TM*->?->?->?->TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                            1       1
446    <-PRTase<-?||?->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-HSP33||Dus->                                                                                                                                                                                                                                                                             1       1
447    DUF1700-alpha-helical+TM+TM+TM*->PADR-HTH->                                                                                                                                                                                                                                                                                                                              1       1
448    SIG+DUF1707-SHOCT-bihelical+TM*->SIG+DUF1707-SHOCT-bihelical+TM*->                                                                                                                                                                                                                                                                                                       1       1
449    SIG+DUF1707-SHOCT-bihelical+TM*->DUF1707-SHOCT-bihelical+TM*->                                                                                                                                                                                                                                                                                                           1       1
450    SIG+DUF1707-SHOCT-bihelical+TM*->DUF1707-SHOCT-bihelical+TM*->DUF1707-SHOCT-bihelical+TM*->                                                                                                                                                                                                                                                                              1       1
454    <-Pkinase+TM+PASTA+PASTA+PASTA||PspC+TM+TM+TM+TM+TM+Toast-rack*->?->PspC+LiaI-LiaF-TM+HISKIN*->REC+GerE-HTH->                                                                                                                                                                                                                                                            1       1
455    Hpr-Kinase-C->TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->?->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*                                                                                                                                                                                                                                       1       1
456    <-Pkinase+TM+PASTA+PASTA+PASTA||PspC+TM+TM+TM+TM+TM+Toast-rack*->?->PspC+LiaI-LiaF-TM+HISKIN*->                                                                                                                                                                                                                                                                          1       1
457    Aldedh->?->||<-?||?->PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                                                                                        1       1
458    PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH||SIG+TM+TM+TM+TM+TM+TM+TM+TM->||<-?||Pkinase+TM+PASTA+PASTA+PASTA->Pkinase+TM+PASTA+PASTA+PASTA->                                                                                                                                                                                           1       1
460    <-SIG+TM+TM+TM+TM+TM+TM+TM+TM<-?||?->REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*                                                                                                                                                                                                                                                        1       1
462    Aldedh->||<-?||?->REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-?||SIG+TM+TM+TM+TM+TM+TM+TM+TM->||<-?||Pkinase+TM+PASTA+PASTA+PASTA->Pkinase+TM+PASTA+PASTA+PASTA->                                                                                                                                                                      1       1
463    <-Pkinase+TM+PASTA+PASTA+PASTA||REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-?||?->?->?->CBS->CBS->                                                                                                                                                                                                                                     1       1
464    <-PADR-HTH<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM||?->PFK->LiaI-LiaF-TM->PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                               1       1
467    PspC*->LiaI-LiaF-TM->PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-?<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                                                                                     1       1
468    PFK->PspC*->LiaI-LiaF-TM->PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                                                                                   1       1
469    REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-LiaI-LiaF-TM<-PspC*<-?<-SIG+TM+TM+TM+TM+TM<-SIG+TM+HISKIN<-REC+GerE-HTH<-PFK<-?||SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                              1       1
470    <-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM||?->PFK->LiaI-LiaF-TM->PspC+TM+TM+TM+TM+TM+Toast-rack*->PspC*->LiaI-LiaF-TM->PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                   1       1
472    SIG+TM+TM+TM->?->REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-LiaI-LiaF-TM                                                                                                                                                                                                                                                              1       1
473    SIG+TM+TM+TM->?->?->REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-LiaI-LiaF-TM                                                                                                                                                                                                                                                           1       1
474    <-PAPS_reduct<-?<-?||REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*                                                                                                                                                                                                                                                                        1       1
475    PspC+TM+TM+TM+TM+TM+Toast-rack*->LiaI-LiaF-TM->                                                                                                                                                                                                                                                                                                                          1       1
476    <-TP_methylase||REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-LiaI-LiaF-TM||?->?->?->?->?->||<-PADR-HTH                                                                                                                                                                                                                                  1       1
477    SIGMA-HTH->ZF+TM->TM+LiaI-LiaF-TM*->SIG+LiaI-LiaF-TM+TM+Toast-rack*->                                                                                                                                                                                                                                                                                                    1       1
478    SIGMA-HTH->ZF+TM->BBOX+TM+TM+LiaI-LiaF-TM->SIG+LiaI-LiaF-TM+TM+Toast-rack*->||<-?||SIG+Peptidase_M28->                                                                                                                                                                                                                                                                   1       1
479    SIGMA-HTH->ZF+TM->BBOX+TM+TM+LiaI-LiaF-TM->SIG+LiaI-LiaF-TM+TM+Toast-rack*->||<-NDK                                                                                                                                                                                                                                                                                      1       1
480    SIGMA-HTH->ZF+TM->TM+LiaI-LiaF-TM*->SIG+LiaI-LiaF-TM+TM+Toast-rack*->||<-NDK<-?<-?||?->YbjQ_1->Glyoxalase->                                                                                                                                                                                                                                                              1       1
481    LACI-HTH+PBPI->?->PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                                                                                           1       1
482    <-SIG+TM+TM+TM+TM+TM||REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-LiaI-LiaF-TM<-?<-SIG+TM+TM+TM+TM+TM+TM+TM+TM||AMP-binding+AMP-binding_C->                                                                                                                                                                                            1       1
483    LiaI-LiaF-TM->PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH||ABhydrolase->                                                                                                                                                                                                                                                                1       1
484    <-PAPS_reduct<-PAPS_reduct<-sGTP<-?||?->REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*                                                                                                                                                                                                                                                     1       1
485    <-SIG+HTH_42||REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*                                                                                                                                                                                                                                                                               1       1
486    REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-?<-PspC*<-PFK                                                                                                                                                                                                                                                                              1       1
487    SIG+TM+TM+TM+TM+TM->||<-?<-?<-?<-?<-REC+GerE-HTH<-PspC+LiaI-LiaF-TM+HISKIN||PspC+TM+TM+TM+TM+TM+Toast-rack*->                                                                                                                                                                                                                                                            1       1
488    SUA->REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*                                                                                                                                                                                                                                                                                        1       1
489    REC+GerE-HTH->PspC+TM+TM+TM+TM*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*                                                                                                                                                                                                                                                                                                     1       1
491    DUF1707-SHOCT-bihelical+TM+TM*->?->?->?->?->?->||<-?<-?||?->?->||<-REC+GerE-HTH<-PspC+LiaI-LiaF-TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->                                                                                                                                                                                                                            1       1
492    DUF1707-SHOCT-bihelical+TM+TM*->?->?->?->?->?->Pkinase+TM+PASTA+PASTA+PASTA->||<-?||SIG+TM+TM+TM+TM+TM+TM+TM+TM->||<-REC+GerE-HTH<-PspC+LiaI-LiaF-TM+HISKIN*||?->?->PspC+TM+TM+TM+TM+TM+Toast-rack*->?->||<-?||?->||<-?||ADH_N+ADH_zinc_N->Aldedh->                                                                                                                      1       1
493    DUF1707-SHOCT-bihelical+TM+TM*->?->?->?->?->?->?->||<-?<-REC+GerE-HTH<-PspC+LiaI-LiaF-TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->                                                                                                                                                                                                                                      1       1
494    PspC*->||<-?||?->||<-?<-?<-?<-?||?->?->?->?->||<-?<-?<-?||DUF1707-SHOCT-bihelical+TM+TM*->                                                                                                                                                                                                                                                                               1       1
495    PspC*->||<-?<-?<-?<-?<-?<-?||?->||<-?||DUF1707-SHOCT-bihelical+TM+TM*->                                                                                                                                                                                                                                                                                                  1       1
496    DUF1707-SHOCT-bihelical+TM+TM*->||<-?||?->||<-?||?->?->||<-?||SIG+Toast-rack*->                                                                                                                                                                                                                                                                                          1       1
497    DUF1707-SHOCT-bihelical+TM+TM*->Aldedh->                                                                                                                                                                                                                                                                                                                                 1       1
498    SIG+Toast-rack*->?->?->?->?->?->||<-?||?->||<-?<-?<-?<-?||DUF1707-SHOCT-bihelical+TM+TM*->                                                                                                                                                                                                                                                                               1       1
499    DUF1707-SHOCT-bihelical+TM+TM*->||<-?<-?<-?||?->?->?->?->||<-rRNA<-rRNA<-rRNA<-?||?->?->||<-REC+GerE-HTH<-PspC+LiaI-LiaF-TM+HISKIN*||?->PspC+TM+TM+TM+TM+Toast-rack*->                                                                                                                                                                                                   1       1
500    DUF1707-SHOCT-bihelical+TM+TM*->||<-?<-?<-?||?->?->?->?->||<-rRNA<-rRNA<-rRNA<-?||?->||<-?<-PspC+LiaI-LiaF-TM+HISKIN*||PspC+TM+TM+TM+TM+Toast-rack*->                                                                                                                                                                                                                    1       1
501    Toast-rack*->Phage_int_SAM_1+Phage_integrase->?->||<-DUF1707-SHOCT-bihelical+TM+TM*||NUDIX->                                                                                                                                                                                                                                                                             1       1
502    <-CyaA||SIGMA-HTH->TM->SIG+Toast-rack+EP1+Toast-rack*->||<-?<-?<-?<-PMSR<-SIG+ABhydrolase                                                                                                                                                                                                                                                                                1       1
503    SIGMA-HTH->TM->SIG+Toast-rack+EP1+Toast-rack*->||<-PMSR                                                                                                                                                                                                                                                                                                                  1       1
504    <-CyaA||SIGMA-HTH->TM->SIG+Toast-rack+EP1+Toast-rack*->||<-PMSR                                                                                                                                                                                                                                                                                                          1       1
505    PspC+TM+TM*->LiaI-LiaF-TM+TM+TM+Toast-rack*->                                                                                                                                                                                                                                                                                                                            1       1
507    <-CBS<-?||?->?->||<-?<-?||?->PspC+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                                                                                      1       1
508    PspC+TM+TM+TM+Toast-rack*->PspC*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH||?->PIG-L->SIGMA-HTH->                                                                                                                                                                                                                                                                     1       1
510    PADR-HTH->PspC+LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+TM+TM+TM->Seryl_tRNA_N+tRNA-synt_2b->                                                                                                                                                                                                                                                                              1       1
513    SIG+TM+TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM->||<-?||?->PADR-HTH->DUF1700-alpha-helical+TM+TM*->                                                                                                                                                                                                                                                                               1       1
514    PADR-HTH->DUF1700-alpha-helical+TM+TM*->?->?->?->?->?->ABC-ATPase->                                                                                                                                                                                                                                                                                                      1       1
515    PADR-HTH->DUF1700-alpha-helical+TM+TM*->?->?->?->UbE1+ACT->PALP->                                                                                                                                                                                                                                                                                                        1       1
516    PADR-HTH->DUF1700-alpha-helical+TM+TM*->||<-ATP-LIGASE+HhH-RADC+BRCT                                                                                                                                                                                                                                                                                                     1       1
517    PADR-HTH->DUF1700-alpha-helical+TM+TM*->?->tRNA->?->||<-?<-ABC-ATPase                                                                                                                                                                                                                                                                                                    1       1
518    <-GNTR-HTH||?->?->?->PADR-HTH->DUF1700-alpha-helical+TM+TM*->                                                                                                                                                                                                                                                                                                            1       1
519    LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->DUF1700-alpha-helical+TM+TM*->SIG+Toast-rack*->                                                                                                                                                                                                                                                          1       1
520    DUF1700-alpha-helical+TM+TM*->?->?->||<-REC+OmpR-HTH                                                                                                                                                                                                                                                                                                                     1       1
521    HAD->FAD-NAD-dep-oxidoreductase->WhiA_N+LAGLIDADG_WhiA+HTH_WhiA->?->?->ComEA-HHH+S1->tRNA->PADR-HTH->DUF1700-alpha-helical+TM+TM*->SIG+Toast-rack*->                                                                                                                                                                                                                     1       1
522    SIG+LiaI-LiaF-TM*->PspA*->LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+HisKin->REC+GerE-HTH->MerR-HTH->                                                                                                                                                                                                                                                                           1       1
525    SIG+Toast-rack*->||<-?<-?||?->?->||<-REC+GerE-HTH<-SIG+TM+TM+TM+TM+HISKIN<-LiaI-LiaF-TM+Toast-rack*<-SIG+LiaI-LiaF-TM*                                                                                                                                                                                                                                                   1       1
528    LiaI-LiaF-TM->PspA->LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->                                                                                                                                                                                                                                                                                     1       1
530    PspA*->LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+HisKin->REC+GerE-HTH->                                                                                                                                                                                                                                                                                                        1       1
531    REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+Toast-rack*<-?||?->||<-SIG+TM+TM+TM+TM<-?<-SIG+TM+TM+TM                                                                                                                                                                                                                                                    1       1
532    <-SIG+TM+TM+TM+TM+TM<-RADICAL-SAM||Pkinase+TM+PASTA+PASTA+PASTA->||<-?||?->||<-REC+GerE-HTH<-PspC+LiaI-LiaF-TM+HISKIN||PspC+TM+TM+TM+TM+Toast-rack*->                                                                                                                                                                                                                    1       1
534    PspC+TM+TM+TM+TM+Toast-rack*->?->||<-?||SIG+TM+TM+TM+TM->?->SIG+TM+TM+TM->                                                                                                                                                                                                                                                                                               1       1
536    PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+Toast-rack*<-?<-?||?->||<-?||CBS->                                                                                                                                                                                                                                                                                       1       1
537    <-CBS<-?||?->?->PspC+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                                                                                                1       1
538    PspC+TM+TM+TM+TM+Toast-rack*->?->?->||<-?<-CBS                                                                                                                                                                                                                                                                                                                           1       1
539    PspC+LiaI-LiaF-TM+HISKIN*->?->?->||<-PspC+TM+TM+TM+TM+Toast-rack*                                                                                                                                                                                                                                                                                                        1       1
540    PspC+TM+TM+TM+TM+Toast-rack*->?->?->||<-?||?->?->||<-?<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                                                                                          1       1
541    PspC+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH||?->Pkinase+TM+PASTA+PASTA+PASTA->                                                                                                                                                                                                                                                             1       1
